Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > >(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, Wire*>(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, std::allocator<Wire*>)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > >(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __true_type)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > std::copy<__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > >(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >)
  0.00      0.00     0.00        9     0.00     0.00  Wire::set_destinationGate(Gate*)
  0.00      0.00     0.00        9     0.00     0.00  Wire::get_name()
  0.00      0.00     0.00        9     0.00     0.00  Wire::Wire(std::string, std::string)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<Wire*>::construct(Wire**, Wire* const&)
  0.00      0.00     0.00        9     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::push_back(Wire* const&)
  0.00      0.00     0.00        8     0.00     0.00  OR::gateOutput(Wire*)
  0.00      0.00     0.00        8     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      0.00     0.00        8     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > std::__copy_normal<true, true>::copy_n<__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > >(__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >)
  0.00      0.00     0.00        8     0.00     0.00  Gate** std::__copy<true, std::random_access_iterator_tag>::copy<Gate*>(Gate* const*, Gate* const*, Gate**)
  0.00      0.00     0.00        8     0.00     0.00  std::vector<Gate*, std::allocator<Gate*> >::end()
  0.00      0.00     0.00        8     0.00     0.00  Gate** std::__copy_aux<Gate**, Gate**>(Gate**, Gate**, Gate**)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > >(__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, Gate*>(__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, std::allocator<Gate*>)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > >(__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __true_type)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > std::copy<__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > > >(__gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >, __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >)
  0.00      0.00     0.00        7     0.00     0.00  Gate::setWireOut(Wire*)
  0.00      0.00     0.00        7     0.00     0.00  Gate::get_OutputWire()
  0.00      0.00     0.00        7     0.00     0.00  Wire::set_sourceGate(Gate*)
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Wire*, std::allocator<Wire*> >::_M_deallocate(Wire**, unsigned int)
  0.00      0.00     0.00        6     0.00     0.00  Gate::setWireZero(Wire*)
  0.00      0.00     0.00        6     0.00     0.00  Gate::Gate(std::string)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Gate*>::construct(Gate**, Gate* const&)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(int const&) const
  0.00      0.00     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<Gate*, std::allocator<Gate*> >::push_back(Gate* const&)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      0.00     0.00        6     0.00     0.00  void std::__destroy_aux<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __true_type)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::allocator<int>)
  0.00      0.00     0.00        5     0.00     0.00  OR::gateOutput()
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<Wire*>::deallocate(Wire**, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<Wire*>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned int)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >::operator++()
